timeStamp,wattsupPower,currentCPUFrequency,userTime1Sec,percentCPU,interrupts,interruptsSoftware,numberOfProcesses,percentVirtualMemory,systemCalls,sharedMemoryUsedBytes,instructions,missRatio
Mon May 18 15:45:21 2020,105.1,1199.9740312499996,4.418233187436673,17.0,13987.79413917653,11898.201460070928,382,2.4,11898.201460070928,304214016,8657820917,0.1800101902346915
Mon May 18 15:45:29 2020,105.0,1199.9461562500005,4.456243345626184,17.0,12595.561961492469,12081.848665474276,382,2.4,12081.848665474276,304214016,8502938279,0.17840661364362803
Mon May 18 15:45:35 2020,105.0,1199.9908749999995,4.434839612824883,17.0,13075.708084458138,11964.279422300695,382,2.4,11964.279422300695,304214016,8684745267,0.18068079234360152
Mon May 18 15:45:43 2020,105.4,1199.9226250000004,4.500318727847322,17.2,13055.578578268045,12130.811412478915,382,2.4,12130.811412478915,304214016,8631376487,0.1813105556466193
Mon May 18 15:45:49 2020,105.4,1199.9304375000004,4.4475790671435895,17.1,12317.61383022675,12104.827694464399,382,2.4,12104.827694464399,304214016,8660035007,0.18209462145186536
Mon May 18 15:45:57 2020,105.3,1200.0021250000002,4.487693336400829,17.1,11954.546744769536,12116.951659745891,382,2.4,12116.951659745891,304214016,8603870422,0.17725682623006014
Mon May 18 15:46:03 2020,105.3,1199.92609375,4.457609665432439,16.9,11505.232927081172,12292.269365794951,382,2.4,12292.269365794951,304214016,8709176130,0.1819148854808537
Mon May 18 15:46:11 2020,105.4,1200.0991875,4.4063781830715385,17.0,11799.839598508466,12136.281009639873,383,2.4,12136.281009639873,304214016,8706908914,0.17785086018662802
Mon May 18 15:46:19 2020,105.5,1199.9317499999995,4.508062600007631,17.1,12494.721316913752,12071.530078406937,383,2.4,12071.530078406937,304214016,8724757522,0.1603995210311381
Mon May 18 15:46:25 2020,105.3,1199.9287187499995,4.581624172777508,17.3,12071.668576761404,12587.969028047046,383,2.4,12587.969028047046,304214016,8496673195,0.18325971628379936
Mon May 18 15:46:33 2020,105.3,1199.94090625,4.483633122443706,17.1,11408.2955116605,12471.1824181225,383,2.4,12471.1824181225,304214016,8683815813,0.16256351658814835
Mon May 18 15:46:39 2020,105.4,1199.96765625,4.4508114255413815,17.0,11266.567516731553,12326.013735182187,383,2.4,12326.013735182187,304214016,8684285603,0.18322201917019426
Mon May 18 15:46:47 2020,105.4,1199.96334375,4.505285357165421,17.2,12645.876128005431,12107.864579169884,383,2.4,12107.864579169884,304214016,8635088603,0.17597436058281085
Mon May 18 15:46:53 2020,105.3,1199.9470625,4.468651892437116,17.1,12676.652421424746,12181.619499874436,383,2.4,12181.619499874436,304214016,8698576867,0.1610326674960179
Mon May 18 15:47:01 2020,105.2,1199.9289375000005,4.5072439389564085,17.2,18337.36613054186,12016.262021114317,383,2.4,12016.262021114317,304214016,8671329693,0.17121104697300582
Mon May 18 15:47:07 2020,105.4,1199.9668749999996,4.475291747898528,17.2,11432.575044336916,12259.32169991023,383,2.4,12259.32169991023,304214016,8747963764,0.15429407192350764
