timestamp,Power,currentCPUFrequency,userTime1Sec,idleTime1Sec,percentCPU,contextSwitches,interrupts,interruptsSoftware,numberOfProcesses
Wed Dec 18 12:30:49 2019,135,1928.090281,16.49243536,15.44724383,51.7,1382.057251,24609.35353,17651.7147,358
Wed Dec 18 12:30:53 2019,134.6,1967.271656,17.27050544,14.67286951,54.1,1367.958416,23118.47289,18320.51516,358
Wed Dec 18 12:30:57 2019,135,1987.018219,17.4018284,14.54412151,54.6,1355.098317,19318.24461,18572.41719,358
Wed Dec 18 12:31:02 2019,135.6,1632.140969,16.30726657,15.63766816,51.1,1474.878606,21574.3825,17432.85759,359
Wed Dec 18 12:31:07 2019,135.1,1981.114344,17.55798392,14.40263609,55,1316.1637,20248.83793,18720.09931,359
Wed Dec 18 12:31:12 2019,134.5,1959.993656,17.25171944,14.69264586,54,1385.659046,23583.41963,18320.38231,359
Wed Dec 18 12:31:18 2019,135.5,1551.727938,16.38701375,15.56316221,51.4,1283.916852,18641.94042,17304.60042,359
Wed Dec 18 12:31:22 2019,134.7,1965.501281,16.83798388,15.07555793,52.9,1448.645975,29139.1815,18032.73341,359
Wed Dec 18 12:31:26 2019,135.8,1919.146344,17.77358742,14.18382411,55.7,1288.177437,19847.37543,18865.11884,359
Wed Dec 18 12:31:30 2019,135.6,1684.467969,16.37330154,15.57727573,51.3,1292.385636,21358.32189,17546.40502,359
Wed Dec 18 12:31:34 2019,135.5,1930.453688,17.54692225,14.41345632,55,1290.637364,18472.59727,18609.91466,359
Wed Dec 18 12:31:38 2019,135,1829.704938,17.34395551,14.60825442,54.4,1357.141397,18211.39668,18427.5268,359
Wed Dec 18 12:31:43 2019,135.2,1811.432063,16.37811159,15.54608943,51.4,1402.887254,25546.6043,17560.95345,359
Wed Dec 18 12:31:48 2019,134.7,1964.920406,17.57492985,14.36809738,55.1,1261.393261,21672.35335,18605.1101,359
Wed Dec 18 12:31:53 2019,135.2,1799.74825,16.9287364,15.01382729,53,1370.00195,21455.98881,17910.66577,359
Wed Dec 18 12:31:59 2019,135.1,1903.25275,16.79988191,15.1220473,52.7,1285.099928,23842.28433,17887.43981,359
Wed Dec 18 12:32:03 2019,134.2,2010.498156,17.20060935,14.73468559,54,1437.928098,22563.32409,18466.92084,359
Wed Dec 18 12:32:07 2019,133.9,2002.331094,17.30312969,14.64488244,54.2,1319.805046,20197.28412,18581.00113,359
Wed Dec 18 12:32:11 2019,133.1,1811.532406,16.5539178,15.3758416,51.9,1251.340853,23759.41153,17543.59916,359
Wed Dec 18 12:32:15 2019,132.7,1999.871875,17.14804872,14.79153095,53.8,1254.699646,21753.72637,18129.36309,359
Wed Dec 18 12:32:19 2019,133.3,1939.994625,17.49326929,14.45720711,54.8,1547.977817,22265.998,18890.05267,359
Wed Dec 18 12:32:24 2019,134,1760.459063,16.52076166,15.43034049,51.8,1286.579519,21145.1654,17582.79664,359
Wed Dec 18 12:32:29 2019,133.3,2052.591156,17.29669579,14.66156817,54.2,1310.320146,18938.85408,18453.33279,359
Wed Dec 18 12:32:34 2019,132.6,1965.481063,16.78367076,15.13525704,52.7,1317.360557,25110.5093,17808.34978,359
Wed Dec 18 12:32:40 2019,131.9,1355.742188,16.55074878,15.36435728,52,1473.396443,27009.59254,17748.29941,359
Wed Dec 18 12:32:45 2019,131.9,1740.343781,16.41776376,15.52502583,51.4,1300.930601,18477.32583,17366.88514,359
Wed Dec 18 12:32:49 2019,133.1,1851.170063,17.59333926,14.34631179,55.1,1379.621568,21868.75437,18711.54347,359
Wed Dec 18 12:32:53 2019,132.9,2046.110438,17.16709156,14.78906116,53.8,1305.36101,21646.64853,18194.48832,359
Wed Dec 18 12:32:57 2019,133.4,1798.534625,16.7034324,15.25244191,52.3,1352.391298,17493.93006,17869.58079,359
Wed Dec 18 12:33:01 2019,133,1964.227469,16.91960461,15.01827926,53,1509.3748,19944.4404,18177.49809,359
Wed Dec 18 12:33:06 2019,132.7,1987.482813,17.62950935,14.31700188,55.3,1285.456506,23450.08617,18695.1109,359
Wed Dec 18 12:33:11 2019,133,1951.694406,16.70392681,15.22578983,52.4,1364.193179,23656.26091,17632.51009,359
